run,model,threads,mode,wall_s,jac_s,jac_calls
1,G2 analytic,1,seq,0.145354,0.090567,7
1,HullWhite analytic,1,seq,0.029461,0.013285,7
1,HullWhite numerical,1,seq,57.070605,25.811979,8
1,G2 analytic,2,par,0.205987,0.121845,7
1,HullWhite analytic,2,par,0.040854,0.014526,7
1,HullWhite numerical,2,par,15.164496,5.703741,8
1,G2 analytic,4,par,0.053403,0.025797,7
1,HullWhite analytic,4,par,0.011868,0.004609,7
1,HullWhite numerical,4,par,10.922602,4.494950,8
2,G2 analytic,1,seq,0.085264,0.057931,7
2,HullWhite analytic,1,seq,0.012342,0.005497,7
2,HullWhite numerical,1,seq,54.858704,25.517093,8
2,G2 analytic,2,par,0.065845,0.037773,7
2,HullWhite analytic,2,par,0.012457,0.004981,7
2,HullWhite numerical,2,par,63.321289,20.367599,8
2,G2 analytic,4,par,0.054608,0.026188,7
2,HullWhite analytic,4,par,0.012520,0.004954,7
2,HullWhite numerical,4,par,13.979430,5.673310,8
2,G2 analytic,8,par,0.130944,0.073712,7
2,HullWhite analytic,8,par,0.036672,0.023210,7
2,HullWhite numerical,8,par,45.996913,16.270331,8
3,G2 analytic,1,seq,0.083787,0.057046,7
3,HullWhite analytic,1,seq,0.012378,0.005534,7
3,HullWhite numerical,1,seq,53.667879,25.077703,8
3,G2 analytic,2,par,0.063218,0.036290,7
3,HullWhite analytic,2,par,0.011784,0.004655,7
3,HullWhite numerical,2,par,11.038468,4.139243,8
3,G2 analytic,4,par,0.051691,0.025007,7
3,HullWhite analytic,4,par,0.012127,0.004716,7
3,HullWhite numerical,4,par,9.680113,4.092432,8
3,G2 analytic,8,par,0.041236,0.014767,7
3,HullWhite analytic,8,par,0.011607,0.004559,7
3,HullWhite numerical,8,par,9.182524,4.042340,8
4,G2 analytic,1,seq,0.083107,0.056587,7
4,HullWhite analytic,1,seq,0.012847,0.005787,7
4,HullWhite numerical,1,seq,28.798201,10.980004,8
4,G2 analytic,2,par,0.131096,0.071846,7
4,HullWhite analytic,2,par,0.029447,0.013435,7
4,HullWhite numerical,2,par,42.705226,19.066056,8
4,G2 analytic,4,par,0.116932,0.055293,7
4,HullWhite analytic,4,par,0.025046,0.010007,7
4,HullWhite numerical,4,par,29.845439,13.573246,8
4,G2 analytic,8,par,0.128586,0.054852,7
4,HullWhite analytic,8,par,0.055978,0.030903,7
4,HullWhite numerical,8,par,33.749046,11.634941,8
5,G2 analytic,1,seq,0.090475,0.061571,7
5,HullWhite analytic,1,seq,0.033377,0.014159,7
5,HullWhite numerical,1,seq,35.884235,14.703796,8
5,G2 analytic,2,par,0.166322,0.094060,7
5,HullWhite analytic,2,par,0.030206,0.009723,7
5,HullWhite numerical,2,par,32.699504,11.939891,8
5,G2 analytic,4,par,0.129151,0.095861,7
5,HullWhite analytic,4,par,0.048169,0.038983,7
5,HullWhite numerical,4,par,30.953105,11.807824,8
5,G2 analytic,8,par,0.043713,0.015855,7
5,HullWhite analytic,8,par,0.012938,0.005047,7
5,HullWhite numerical,8,par,9.617787,4.308363,8
